            AlgoName,    n, SolCount, VarNb, CstNb, BackTrack,     Fails, ResTime
           A-Classic,    3,        4,     7,     6,         7,         0, 0.0117424
         A-FirstLast,    3,        2,     7,     7,         3,         0, 0.0030398
       A-FirstSecond,    3,        2,     7,     7,         3,         0, 0.0017216
                A-Sh,    3,        2,     7,     7,         3,         0, 0.0026987
            A-Double,    3,        1,     7,     8,         1,         0, 0.0015886
           T-Classic,    3,        4,     5,     4,         7,         0, 0.00264
         T-FirstLast,    3,        2,     5,     5,         3,         0, 0.001405
       T-FirstSecond,    3,        2,     5,     5,         3,         0, 0.0013127
                T-Sh,    3,        2,     5,     5,         3,         0, 0.0012124
            T-Double,    3,        1,     5,     6,         1,         0, 7.987E-4
           A-Classic,    4,        4,    10,     8,        15,         4, 0.0109956
         A-FirstLast,    4,        2,    10,     9,         9,         3, 0.0038169
       A-FirstSecond,    4,        2,    10,     9,         7,         2, 0.0062152
                A-Sh,    4,        2,    10,     9,        15,         6, 0.0040543
            A-Double,    4,        1,    10,    10,         7,         3, 0.0030379
           T-Classic,    4,        4,     7,     5,        15,         4, 0.0040117
         T-FirstLast,    4,        2,     7,     6,         9,         3, 0.0028459
       T-FirstSecond,    4,        2,     7,     6,         7,         2, 0.0019634
                T-Sh,    4,        2,     7,     6,        15,         6, 0.0025181
            T-Double,    4,        1,     7,     7,         7,         3, 0.0015569
           A-Classic,    5,        8,    13,    10,        31,         8, 0.0061267
         A-FirstLast,    5,        4,    13,    11,        23,         8, 0.0037767
       A-FirstSecond,    5,        4,    13,    11,        15,         4, 0.0024171
                A-Sh,    5,        4,    13,    11,        31,        12, 0.0033237
            A-Double,    5,        2,    13,    12,        15,         6, 0.0017634
           T-Classic,    5,        8,     9,     6,        31,         8, 0.0057591
         T-FirstLast,    5,        4,     9,     7,        23,         8, 0.0033895
       T-FirstSecond,    5,        4,     9,     7,        15,         4, 0.0021702
                T-Sh,    5,        4,     9,     7,        31,        12, 0.0026708
            T-Double,    5,        2,     9,     8,        15,         6, 0.0018539
           A-Classic,    6,       24,    16,    12,        99,        26, 0.0096549
         A-FirstLast,    6,       12,    16,    13,        61,        19, 0.0065311
       A-FirstSecond,    6,       12,    16,    13,        49,        13, 0.0039224
                A-Sh,    6,       12,    16,    13,        83,        30, 0.0047934
            A-Double,    6,        6,    16,    14,        41,        15, 0.0064582
           T-Classic,    6,       24,    11,     7,        95,        24, 0.0102153
         T-FirstLast,    6,       12,    11,     8,        61,        19, 0.0119218
       T-FirstSecond,    6,       12,    11,     8,        43,        10, 0.0031138
                T-Sh,    6,       12,    11,     8,        81,        29, 0.0038383
            T-Double,    6,        6,    11,     9,        41,        15, 0.0032015
           A-Classic,    7,       32,    19,    14,       253,        95, 0.0232296
         A-FirstLast,    7,       16,    19,    15,       191,        80, 0.0136768
       A-FirstSecond,    7,       16,    19,    15,       113,        41, 0.0107056
                A-Sh,    7,       16,    19,    15,       215,        92, 0.0128729
            A-Double,    7,        8,    19,    16,       109,        47, 0.0066772
           T-Classic,    7,       32,    13,     8,       243,        90, 0.0182596
         T-FirstLast,    7,       16,    13,     9,       207,        88, 0.030311
       T-FirstSecond,    7,       16,    13,     9,       127,        48, 0.0084162
                T-Sh,    7,       16,    13,     9,       221,        95, 0.0163002
            T-Double,    7,        8,    13,    10,       109,        47, 0.0073628
           A-Classic,    8,       40,    22,    16,       817,       369, 0.0503457
         A-FirstLast,    8,       20,    22,    17,       711,       336, 0.1282648
       A-FirstSecond,    8,       20,    22,    17,       369,       165, 0.0580919
                A-Sh,    8,       20,    22,    17,       639,       300, 0.0295966
            A-Double,    8,       10,    22,    18,       307,       144, 0.0353265
           T-Classic,    8,       40,    15,     9,       727,       324, 0.0381805
         T-FirstLast,    8,       20,    15,    10,       693,       327, 0.0758828
       T-FirstSecond,    8,       20,    15,    10,       409,       185, 0.0353293
                T-Sh,    8,       20,    15,    10,       623,       292, 0.0424659
            T-Double,    8,       10,    15,    11,       329,       155, 0.0226696
           A-Classic,    9,      120,    25,    18,      2483,      1122, 0.2269636
         A-FirstLast,    9,       60,    25,    19,      2299,      1090, 0.3128942
       A-FirstSecond,    9,       60,    25,    19,      1289,       585, 0.124610305
                A-Sh,    9,       60,    25,    19,      1973,       927, 0.1244006
            A-Double,    9,       30,    25,    20,       975,       458, 0.0422712
           T-Classic,    9,      120,    17,    10,      2505,      1133, 0.1097854
         T-FirstLast,    9,       60,    17,    11,      2329,      1105, 0.07798889
       T-FirstSecond,    9,       60,    17,    11,      1257,       569, 0.0382159
                T-Sh,    9,       60,    17,    11,      1953,       917, 0.0681319
            T-Double,    9,       30,    17,    12,       927,       434, 0.0354419
           A-Classic,   10,      296,    28,    20,      8259,      3834, 0.3695618
         A-FirstLast,   10,      148,    28,    21,      8551,      4128, 0.2768328
       A-FirstSecond,   10,      148,    28,    21,      4183,      1944, 0.1169704
                A-Sh,   10,      148,    28,    21,      6523,      3114, 0.1802683
            A-Double,   10,       74,    28,    22,      3225,      1539, 0.0895664
           T-Classic,   10,      296,    19,    11,      8419,      3914, 0.1235831
         T-FirstLast,   10,      148,    19,    12,      8359,      4032, 0.1223983
       T-FirstSecond,   10,      148,    19,    12,      4191,      1948, 0.0590506
                T-Sh,   10,      148,    19,    12,      6389,      3047, 0.0955392
            T-Double,   10,       74,    19,    13,      3373,      1613, 0.0535519
           A-Classic,   11,      648,    31,    22,     30019,     14362, 0.7971977
         A-FirstLast,   11,      324,    31,    23,     32877,     16115, 0.9384816
       A-FirstSecond,   11,      324,    31,    23,     15135,      7244, 0.3800422
                A-Sh,   11,      324,    31,    23,     21711,     10532, 0.55635464
            A-Double,   11,      162,    31,    24,     10845,      5261, 0.291135
           T-Classic,   11,      648,    21,    12,     29813,     14259, 0.43760678
         T-FirstLast,   11,      324,    21,    13,     31869,     15611, 0.5381266
       T-FirstSecond,   11,      324,    21,    13,     15111,      7232, 0.2161544
                T-Sh,   11,      324,    21,    13,     22027,     10690, 0.32871643
            T-Double,   11,      162,    21,    14,     11195,      5436, 0.18392739
           A-Classic,   12,     1328,    34,    24,    114001,     55673, 3.5096607
         A-FirstLast,   12,      664,    34,    25,    135469,     67071, 4.5682173
       A-FirstSecond,   12,      664,    34,    25,     57965,     28319, 1.8006219
                A-Sh,   12,      664,    34,    25,     87265,     42969, 2.7189991
            A-Double,   12,      332,    34,    26,     43745,     21541, 1.3441
           T-Classic,   12,     1328,    23,    13,    113387,     55366, 1.7179621
         T-FirstLast,   12,      664,    23,    14,    129551,     64112, 2.2860584
       T-FirstSecond,   12,      664,    23,    14,     57469,     28071, 0.9404853
                T-Sh,   12,      664,    23,    14,     86585,     42629, 1.3993437
            T-Double,   12,      332,    23,    15,     43365,     21351, 0.7598548
           A-Classic,   13,     3200,    37,    26,    465113,    229357, 17.61449
         A-FirstLast,   13,     1600,    37,    27,    578197,    287499, 39.527542
       A-FirstSecond,   13,     1600,    37,    27,    232143,    114472, 12.541041
                A-Sh,   13,     1600,    37,    27,    348687,    172744, 13.579556
            A-Double,   13,      800,    37,    28,    175289,     86845, 6.803503
           T-Classic,   13,     3200,    25,    14,    458961,    226281, 8.020905
         T-FirstLast,   13,     1600,    25,    15,    550829,    273815, 11.136315
       T-FirstSecond,   13,     1600,    25,    15,    232701,    114751, 4.3057375
                T-Sh,   13,     1600,    25,    15,    342961,    169881, 6.249901
            T-Double,   13,      800,    25,    16,    172457,     85429, 3.3788345